Unnamed: 0	id_anonimo	Resumo para a Prova Teórica 2 (PT2)	Unnamed: 33	Resumo para a Prova Teórica 1 (PT1)	Unnamed: 31	Boas vindas!!!	Unnamed: 5	Plano de ensino (unificado) - BCC701	Unnamed: 7	Plano de ensino (unificado) - BCC104	Unnamed: 9	Cronograma detalhado	Unnamed: 11	Diário de classe	Unnamed: 13	Cálculo de notas para Exame Especial (pendente)	Unnamed: 15	Escolha para o EXAME ESPECIAL (pendente)	Unnamed: 17	Página da disciplina	Unnamed: 19	Agenda do Professor	Unnamed: 21	Atendimentos: Extraclase, Monitoria e Tutoria	Unnamed: 23	opCoders Judge (Corretor automático de exercícios práticos)	Unnamed: 25	Conteúdo teórico (livro texto)	Unnamed: 29	Apresentação da disciplina	Unnamed: 39	[1] Plano de ensino (13 min)	Unnamed: 41	[2] Critérios de avaliação (13 min) 	Unnamed: 43	[3] Ferramentas e recursos (17 min)	Unnamed: 45	[4] Dicas para um bom desempenho da disciplina (14 min)	Unnamed: 47	[Cap. 1] Introdução	Unnamed: 49	[1] Algoritmos (25 min)	Unnamed: 51	[2] Programas de computador (30 min)	Unnamed: 53	[QM-1] Questionário teórico do Capítulo 1 (prazo: 15/05 às 13:00)	Unnamed: 55	[Cap. 2] Variáveis e expressões	Unnamed: 57	[1] Variáveis (30 min)	Unnamed: 59	[2] Expressões: Parte 1 - Operadores aritméticos (16 min)	Unnamed: 61	[3] Expressões: Parte 2 - Precedência e associatividade (12 min)	Unnamed: 63	[4] Expressões: Parte 3 - Exercício (com contra-exemplo) (6 min)	Unnamed: 65	[5] Expressões: Parte 4 - Funções elementares (20 min)	Unnamed: 67	[6] Expressões: Parte 5 - Valores constantes (4 min)	Unnamed: 69	[7] Expressões: Parte 6 - Exemplos de funções e constantes (15 min)	Unnamed: 71	[8] Expressões: Parte 7 - Exercício prático (10 min)	Unnamed: 73	[QM-2] Questionário teórico do Capítulo 2 (prazo: 20/05 às 13:00)	Unnamed: 75	[Cap. 3] Entrada e saída	Unnamed: 77	[1] Introdução (3 min)	Unnamed: 79	[2] Entrada (23 min)	Unnamed: 81	[3] Saída (6 min)	Unnamed: 83	[4] Strings (37 min)	Unnamed: 85	[5] Exercícios práticos (27 min)	Unnamed: 87	[QM-3] Questionário teórico do Capítulo 3 (prazo: 20/05 às 13:00)	Unnamed: 89	[AP-1.1] Ambiente de programação	Unnamed: 91	[AP-1.2] Conhecendo o corretor automático	Unnamed: 93	[AP-2_3.1] Variáveis, expressões, entrada e saída (aula)	Unnamed: 95	[AP-2_3.2] Variáveis, expressões, entrada e saída (semana)	Unnamed: 97	[Cap. 4] Estruturas de Decisão	Unnamed: 99	[1] Introdução e operadores relacionais (10 min)	Unnamed: 101	[2] Comando if (21 min)	Unnamed: 103	[3] A cláusula else (19 min)	Unnamed: 105	[QM-4] Questionário teórico do Capítulo 4 - até clausula else (prazo: 22/05 às 13:00)	Unnamed: 107	[4] Operadores lógicos (20 min)	Unnamed: 109	[5] Decisões aninhadas (26 min)	Unnamed: 111	[QM-5] Questionário teórico do Capítulo 4 - até decisões aninhadas (prazo: 29/05 às 13:00)	Unnamed: 113	[AP-4.1] Estruturas de Decisão Simples (aula)	Unnamed: 115	[AP-4.2] Estruturas de Decisão Simples (semana)	Unnamed: 117	[AP-4.3] Estruturas de Decisão Aninhadas (aula)	Unnamed: 119	[AP-4.4] Estruturas de Decisão Aninhadas (semana)	Unnamed: 121	[Cap. 5.1] Estrutura de Repetição: WHILE	Unnamed: 123	[1] Introdução (6 min)	Unnamed: 125	[2] Comando while (8 min)	Unnamed: 127	[3] Exercício 1 (20 min)	Unnamed: 129	[4] Exercício 2 (23 min)	Unnamed: 131	[5] Exercício 3 (26 min)	Unnamed: 133	[6] Exercício 4 (24 min)	Unnamed: 135	[7] Exercício 5 (15 min)	Unnamed: 137	[QM-6] Questionário teórico da Seção 5.1 (prazo: DD/MM às HH:MM)	Unnamed: 139	[AP-5.1] Estrutura de Repetição: WHILE (aula)	Unnamed: 141	[AP-5.2] Estrutura de Repetição: WHILE (semana)	Unnamed: 143	[Cap. 5.2] Estrutura de Repetição: FOR	Unnamed: 145	[1] Introdução (7 min)	Unnamed: 147	[2] Comando FOR (24 min)	Unnamed: 149	[3] Exercício 1 (18 min)	Unnamed: 151	[4] Exercício 2 (13 min)	Unnamed: 153	[5] Comparando WHILE e FOR (13 min)	Unnamed: 155	[6] Exercício 3 (22 min)	Unnamed: 157	[QM-7] Questionário teórico da Seção 5.2 (prazo: DD/MM às HH:MM)	Unnamed: 159	[AP-5.3] Estrutura de Repetição: FOR (aula)	Unnamed: 161	[AP-5.4] Estrutura de Repetição: FOR (semana)	Unnamed: 163	[Cap. 5.3] Estruturas de Repetição Aninhadas	Unnamed: 165	[1] Laços aninhados (10 min)	Unnamed: 167	[2] Exercício 1 (14 min)	Unnamed: 169	[3] Exercício 2 (16 min)	Unnamed: 171	[4] Exercício 3 (14 min)	Unnamed: 173	[5] Exercício 4 (20 min)	Unnamed: 175	[QM-8] Questionário teórico da Seção 5.3 (prazo: DD/MM às HH:MM)	Unnamed: 177	[AP-5.5] Estruturas de Repetição Aninhadas (aula)	Unnamed: 179	[AP-5.6] Estruturas de Repetição Aninhadas (semana)	Unnamed: 181	[AP-S1] Simulado da Prova Teórica Unificada 1	Unnamed: 183	Prova Teórica Unificada 1 (PT1)	Unnamed: 185	Procedimentos para aplicação da avaliação	Unnamed: 187	[Cap. 6] Implementação de Funções	Unnamed: 191	[2] Definição de funções (25 min)	Unnamed: 195	[3] Chamada de funções (29 min)	Unnamed: 197	[4] Escopo de variáveis (14 min)	Unnamed: 199	[6] Função sem retorno (10 min)	Unnamed: 203	[7] Retorno de vários valores (29 min)	Unnamed: 205	[QM-9] Questionário teórico do Capítulo 6 (prazo: DD/MM às HH:MM)	Unnamed: 207	[AP-6.1] Implementação de Funções (aula)	Unnamed: 209	[AP-6.2] Implementação de Funções (semana)	Unnamed: 211	[AP-6.3] Implementação de Funções (aula)	Unnamed: 213	[AP-6.4] Implementação de Funções (semana)	Unnamed: 215	Biblioteca padrão para Vetores e Matrizes	Unnamed: 217	[Cap. 7.1] Estruturas Homogêneas: VETOR	Unnamed: 219	[1] Conceito (14 min)	Unnamed: 221	[2.1] Sintaxe (2 min)	Unnamed: 223	[2.2] Criar vetores por atribuição (11 min)	Unnamed: 225	[2.3] Ler e modificar elementos (10 min)	Unnamed: 227	[2.4] Inserir elementos (4 min)	Unnamed: 229	[2.5] Remover elementos (5 min)	Unnamed: 231	[2.6] Descobrir a dimensão (5 min)	Unnamed: 233	[2.7] Percorrer elementos (15 min)	Unnamed: 235	[3] Exercício 1 (12 min)	Unnamed: 237	[4] Exercício 2 (32 min)	Unnamed: 239	[5] Exercício 3 (28 min)	Unnamed: 241	[6] Funções úteis (28 min)	Unnamed: 243	[7] Exercício 4 (27 min)	Unnamed: 245	[QM-10] Questionário teórico do Capítulo 7: VETOR (prazo: DD/MM às HH:MM)	Unnamed: 247	[AP-7.1] Estrutura Homogênea - VETOR (aula)	Unnamed: 249	[AP-7.2] Estrutura Homogênea - VETOR (semana)	Unnamed: 251	[AP-7.3] Estrutura Homogênea - VETOR (aula)	Unnamed: 253	[AP-7.4] Estrutura Homogênea - VETOR (semana)	Unnamed: 255	[Cap. 7.2] Estruturas Homogêneas: MATRIZ	Unnamed: 257	[1] Conceito (5 min)	Unnamed: 259	[2] Sintaxe e operações (25 min)	Unnamed: 261	[3] Exercício 1 (28 min)	Unnamed: 263	[4] Funções úteis (21 min)	Unnamed: 265	[5] Exercício 2 (34 min)	Unnamed: 267	[QM-11] Questionário teórico do Capítulo 7: MATRIZ (prazo: DD/MM às HH:MM)	Unnamed: 269	[AP-7.5] Estrutura Homogênea - MATRIZ (aula)	Unnamed: 271	[AP-7.6] Estrutura Homogênea - MATRIZ (semana)	Unnamed: 273	[AP-7.7] Estrutura Homogênea - MATRIZ (aula)	Unnamed: 275	[AP-7.8] Estrutura Homogênea - MATRIZ (semana)	Unnamed: 277	[AP-S2] Simulado da Prova Teórica Unificada 2	Unnamed: 279	Prova Teórica Unificada 2 (PT2)	Unnamed: 281	[Cap. 8] Estruturas Heterogêneas: REGISTRO	Unnamed: 285	Material complementar - Videoaula: Estruturas Heterogêneas: REGISTRO (25 min)	Unnamed: 287
13	23d0baa4c19c7aef8761f8885ff597f8	Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído	
14	58b1efd6583203be094f11f9b0abdf0c	Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Concluído	2025-05-14 19:19:46	Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Concluído	2025-06-27 16:47:51	Concluído	2025-06-27 17:04:29	Concluído	2025-06-27 17:24:38	Não concluído		Concluído	2025-06-27 17:47:30	Concluído	2025-06-27 18:35:45	Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Concluído	2025-06-27 18:49:18	Concluído	2025-06-27 19:04:05	Concluído	2025-06-27 19:18:18	Concluído	2025-06-27 19:36:41	Concluído	2025-06-27 19:51:46	Concluído	2025-06-27 20:10:32	Concluído	2025-06-27 20:16:41	Não concluído		Não concluído		Não concluído		Não concluído		Concluído	2025-06-27 20:24:27	Concluído	2025-06-27 20:39:29	Concluído	2025-06-27 20:54:02	Concluído	2025-06-27 21:04:20	Concluído	2025-06-27 21:13:09	Concluído	2025-06-27 21:25:52	Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído	
15	f9f9af61448f9d10e9a181d87b9136be	Não concluído		Não concluído		Não concluído	2025-06-12 00:32:00	Não concluído		Não concluído	2025-06-12 00:01:07	Não concluído		Não concluído	2025-06-11 23:46:03	Não concluído		Não concluído		Não concluído	2025-06-11 23:46:09	Não concluído		Concluído	2025-06-11 23:57:10	Concluído	2025-07-04 10:12:00	Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído	
16	43fe214dea3bd21c007c0dc2570336e6	Não concluído		Não concluído		Não concluído	2025-05-14 09:56:59	Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Concluído	2025-06-08 15:22:33	Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Concluído	2025-07-29 14:33:51	Concluído	2025-07-29 14:33:54	Concluído	2025-07-29 14:33:52	Concluído	2025-07-29 14:33:55	Concluído	2025-07-29 14:33:53	Concluído	2025-07-29 14:33:56	Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído	2025-08-12 09:17:14	Não concluído		Não concluído		Não concluído	2025-08-13 14:28:14	Concluído	2025-08-13 14:28:18	Concluído	2025-08-13 14:28:20	Concluído	2025-08-13 14:29:46	Não concluído		Não concluído		Não concluído	2025-08-13 14:28:22	Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído	
17	9af84fcd9269da68e695ce13cff667b4	Concluído	2025-07-10 08:42:23	Não concluído		Concluído	2025-05-15 08:05:42	Concluído	2025-05-22 00:51:31	Concluído	2025-05-12 14:43:34	Concluído	2025-05-15 08:07:42	Concluído	2025-05-15 09:12:07	Não concluído		Não concluído		Concluído	2025-07-10 08:42:11	Não concluído		Concluído	2025-07-10 08:42:13	Concluído	2025-07-10 08:42:14	Concluído	2025-05-20 09:03:38	Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído	
18	5bd9156e90c005388817f6d6d4618800	Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído	
19	3ac46891a32783c6fe1cda250f8d91b9	Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído	
20	1943be1f6bf43fa087d7a00317f29f67	Concluído	2025-05-20 17:02:11	Concluído	2025-05-20 17:02:12	Concluído	2025-05-20 17:01:09	Concluído	2025-05-20 17:01:07	Concluído	2025-05-20 17:01:06	Concluído	2025-05-20 17:01:05	Concluído	2025-05-20 17:01:04	Não concluído		Não concluído		Concluído	2025-05-20 17:01:01	Não concluído		Concluído	2025-05-20 17:01:00	Concluído	2025-05-20 17:00:59	Concluído	2025-05-20 17:00:55	Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído	
21	5bc0464eb50e452635f33c6e3160fcb7	Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Concluído	2025-06-03 21:33:03	Concluído	2025-06-03 21:33:03	Concluído	2025-06-03 21:33:27	Concluído	2025-06-05 21:06:42	Concluído	2025-06-05 21:06:43	Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Concluído	2025-06-20 23:50:00	Concluído	2025-06-21 00:17:31	Concluído	2025-06-26 13:54:02	Concluído	2025-06-26 23:58:12	Concluído	2025-06-27 12:43:16	Concluído	2025-06-27 16:22:35	Concluído	2025-06-27 17:02:45	Concluído	2025-06-27 20:36:33	Concluído	2025-06-27 20:36:38	Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído	
22	45aa28b46c07073b9e92fad1d9a06a3b	Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Concluído	2025-06-25 10:38:43	Concluído	2025-06-25 10:46:01	Concluído	2025-06-25 10:46:50	Não concluído		Concluído	2025-06-25 10:54:10	Concluído	2025-06-25 11:03:03	Concluído	2025-06-25 11:03:04	Concluído	2025-06-25 11:03:05	Concluído	2025-06-25 11:03:05	Concluído	2025-06-25 11:03:06	Concluído	2025-06-25 11:03:07	Concluído	2025-06-25 11:03:08	Concluído	2025-06-25 11:03:09	Não concluído		Concluído	2025-06-25 12:56:53	Concluído	2025-06-25 12:57:19	Concluído	2025-06-25 12:57:18	Concluído	2025-06-25 12:57:18	Concluído	2025-06-25 12:57:17	Concluído	2025-06-25 12:57:16	Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído		Não concluído	
